DATE,DPI
1947-01-01,170.548
1947-04-01,170.245
1947-07-01,178.047
1947-10-01,179.916
1948-01-01,185.295
1948-04-01,193.025
1948-07-01,199.178
1948-10-01,199.673
1949-01-01,194.22
1949-04-01,193.991
1949-07-01,194.108
1949-10-01,195.034
1950-01-01,209.698
1950-04-01,210.065
1950-07-01,217.145
1950-10-01,222.384
1951-01-01,229.715
1951-04-01,236.737
1951-07-01,239.757
1951-10-01,242.499
1952-01-01,243.408
1952-04-01,246.447
1952-07-01,253.057
1952-10-01,258.904
1953-01-01,262.968
1953-04-01,266.799
1953-07-01,266.957
1953-10-01,267.217
1954-01-01,269.931
1954-04-01,269.82
1954-07-01,271.778
1954-10-01,276.713
1955-01-01,282.103
1955-04-01,288.631
1955-07-01,295.107
1955-10-01,299.354
1956-01-01,303.616
1956-04-01,308.551
1956-07-01,313.182
1956-10-01,319.894
1957-01-01,323.789
1957-04-01,328.145
1957-07-01,332.482
1957-10-01,331.974
1958-01-01,333.104
1958-04-01,336.028
1958-07-01,343.668
1958-10-01,348.811
1959-01-01,353.222
1959-04-01,360.377
1959-07-01,362.062
1959-10-01,366.634
1960-01-01,371.359
1960-04-01,375.715
1960-07-01,377.847
1960-10-01,379.358
1961-01-01,383.653
1961-04-01,389.432
1961-07-01,396.03
1961-10-01,404.186
1962-01-01,409.933
1962-04-01,415.826
1962-07-01,419.178
1962-10-01,424.193
1963-01-01,429.107
1963-04-01,433.739
1963-07-01,440.601
1963-10-01,449.437
1964-01-01,460.392
1964-04-01,473.838
1964-07-01,481.587
1964-10-01,488.675
1965-01-01,496.02
1965-04-01,504.149
1965-07-01,519.863
1965-10-01,531.956
1966-01-01,541.375
1966-04-01,547.242
1966-07-01,558.165
1966-10-01,569.061
1967-01-01,579.322
1967-04-01,586.696
1967-07-01,597.752
1967-10-01,607.28
1968-01-01,623.954
1968-04-01,640.688
1968-07-01,649.389
1968-10-01,661.666
1969-01-01,669.756
1969-04-01,684.95
1969-07-01,707.48
1969-10-01,721.137
1970-01-01,737.168
1970-04-01,754.52
1970-07-01,774.022
1970-10-01,782.186
1971-01-01,805.328
1971-04-01,826.35
1971-07-01,838.808
1971-10-01,853.832
1972-01-01,866.754
1972-04-01,880.815
1972-07-01,905.843
1972-10-01,949.861
1973-01-01,968.678
1973-04-01,995.679
1973-07-01,1018.43
1973-10-01,1050.7
1974-01-01,1064.035
1974-04-01,1083.985
1974-07-01,1114.191
1974-10-01,1140.869
1975-01-01,1160.434
1975-04-01,1228.887
1975-07-01,1233.647
1975-10-01,1264.165
1976-01-01,1293.61
1976-04-01,1311.899
1976-07-01,1342.259
1976-10-01,1372.14
1977-01-01,1400.016
1977-04-01,1437.33
1977-07-01,1479.197
1977-10-01,1528.88
1978-01-01,1566.088
1978-04-01,1615.146
1978-07-01,1656.31
1978-10-01,1698.742
1979-01-01,1751.759
1979-04-01,1783.413
1979-07-01,1836.023
1979-10-01,1883.828
1980-01-01,1947.118
1980-04-01,1977.275
1980-07-01,2046.297
1980-10-01,2125.848
1981-01-01,2177.992
1981-04-01,2217.133
1981-07-01,2302.221
1981-10-01,2339.999
1982-01-01,2375.323
1982-04-01,2412.547
1982-07-01,2462.319
1982-10-01,2497.228
1983-01-01,2541.526
1983-04-01,2582.521
1983-07-01,2655.754
1983-10-01,2732.912
1984-01-01,2817.775
1984-04-01,2892.421
1984-07-01,2953.265
1984-10-01,2995.748
1985-01-01,3023.121
1985-04-01,3106.975
1985-07-01,3121.548
1985-10-01,3176.623
1986-01-01,3241.309
1986-04-01,3279.358
1986-07-01,3317.667
1986-10-01,3342.776
1987-01-01,3405.257
1987-04-01,3405.848
1987-07-01,3499.57
1987-10-01,3577.374
1988-01-01,3658.51
1988-04-01,3737.002
1988-07-01,3819.629
1988-10-01,3894.693
1989-01-01,3984.353
1989-04-01,4026.199
1989-07-01,4076.921
1989-10-01,4143.873
1990-01-01,4236.338
1990-04-01,4304.603
1990-07-01,4357.787
1990-10-01,4377.75
1991-01-01,4411.695
1991-04-01,4468.169
1991-07-01,4516.83
1991-10-01,4587.352
